id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,predicted_cltv,cltv_segment,income_band,policy_band,has_claims
93457,Male,Urban,High School,2L-5L,0,7,5851,More than 1,B,Platinum,92435.72,High,2L-5L,More than 1,1
93458,Female,Urban,Bachelor,More than 10L,0,3,4109,More than 1,B,Silver,93214.46,High,More than 10L,More than 1,1
93459,Female,Urban,High School,5L-10L,1,6,5277,1,A,Platinum,43127.44,Low,5L-10L,1,1
93460,Male,Urban,High School,More than 10L,1,3,4379,More than 1,A,Platinum,89873.06,High,More than 10L,More than 1,1
93461,Male,Urban,Bachelor,5L-10L,0,4,8081,More than 1,B,Gold,102164.2,Premium,5L-10L,More than 1,1
93462,Female,Urban,High School,5L-10L,1,4,5015,1,A,Platinum,41667.47,Low,5L-10L,1,1
93463,Male,Urban,High School,5L-10L,1,3,0,More than 1,C,Platinum,105846.87,Premium,5L-10L,More than 1,0
93464,Male,Rural,High School,2L-5L,1,8,5184,More than 1,B,Gold,85351.98,High,2L-5L,More than 1,1
93465,Male,Urban,High School,2L-5L,0,6,8322,More than 1,A,Platinum,133977.76,Premium,2L-5L,More than 1,1
93466,Male,Urban,High School,5L-10L,0,3,9275,More than 1,C,Platinum,119018.3,Premium,5L-10L,More than 1,1
93467,Female,Urban,High School,2L-5L,0,4,7428,More than 1,B,Gold,97279.58,Premium,2L-5L,More than 1,1
93468,Female,Urban,High School,5L-10L,0,5,0,1,A,Platinum,43991.48,Low,5L-10L,1,0
93469,Female,Urban,Others,5L-10L,1,4,3660,1,C,Platinum,44791.2,Low,5L-10L,1,1
93470,Male,Urban,High School,More than 10L,1,3,6694,More than 1,A,Platinum,96480.68,Premium,More than 10L,More than 1,1
93471,Male,Urban,High School,5L-10L,0,2,4249,More than 1,A,Platinum,93982.93,High,5L-10L,More than 1,1
93472,Male,Urban,High School,2L-5L,0,6,5657,More than 1,A,Platinum,110530.88,Premium,2L-5L,More than 1,1
93473,Female,Urban,Others,5L-10L,1,8,0,1,B,Silver,45561.05,Low,5L-10L,1,0
93474,Male,Urban,High School,5L-10L,1,6,3793,1,A,Platinum,46009.33,Low,5L-10L,1,1
93475,Female,Urban,High School,5L-10L,0,5,0,1,A,Gold,43771.64,Low,5L-10L,1,0
93476,Male,Urban,High School,5L-10L,0,3,3591,More than 1,A,Gold,93725.32,High,5L-10L,More than 1,1
93477,Female,Rural,High School,5L-10L,0,3,4512,1,B,Gold,47321.5,Medium,5L-10L,1,1
93478,Female,Urban,Bachelor,More than 10L,1,2,10676,More than 1,A,Platinum,105796.87,Premium,More than 10L,More than 1,1
93479,Female,Urban,Bachelor,2L-5L,1,2,5921,More than 1,A,Gold,97035.52,Premium,2L-5L,More than 1,1
93480,Female,Urban,Bachelor,2L-5L,0,7,11405,More than 1,A,Silver,131792.28,Premium,2L-5L,More than 1,1
93481,Female,Rural,High School,5L-10L,0,4,5997,More than 1,A,Platinum,87952.33,High,5L-10L,More than 1,1
93482,Male,Urban,Others,5L-10L,1,2,0,More than 1,A,Gold,79757.31,Medium,5L-10L,More than 1,0
93483,Female,Urban,Bachelor,5L-10L,1,4,3774,More than 1,A,Silver,87327.31,High,5L-10L,More than 1,1
93484,Male,Urban,High School,More than 10L,0,1,5710,1,A,Platinum,44282.21,Low,More than 10L,1,1
93485,Female,Rural,Bachelor,More than 10L,1,2,2865,More than 1,A,Silver,82444.51,Medium,More than 10L,More than 1,1
93486,Male,Urban,High School,2L-5L,0,0,4078,1,B,Silver,45947.9,Low,2L-5L,1,1
93487,Female,Urban,Bachelor,5L-10L,0,3,2205,More than 1,B,Platinum,90197.61,High,5L-10L,More than 1,1
93488,Female,Rural,High School,5L-10L,1,6,3829,1,A,Platinum,47117.65,Medium,5L-10L,1,1
93489,Female,Rural,High School,5L-10L,1,4,0,1,B,Silver,44933.67,Low,5L-10L,1,0
93490,Male,Urban,High School,2L-5L,1,6,4359,More than 1,A,Silver,89119.28,High,2L-5L,More than 1,1
93491,Male,Urban,Bachelor,More than 10L,1,7,7101,1,A,Gold,47140.41,Medium,More than 10L,1,1
93492,Female,Urban,High School,5L-10L,0,4,6110,1,A,Silver,44812.98,Low,5L-10L,1,1
93493,Female,Rural,Bachelor,5L-10L,0,7,4654,1,A,Silver,46160.62,Low,5L-10L,1,1
93494,Male,Urban,Others,2L-5L,1,2,2072,1,A,Platinum,42918.72,Low,2L-5L,1,1
93495,Female,Rural,Bachelor,5L-10L,1,6,4973,1,A,Gold,44904.07,Low,5L-10L,1,1
93496,Male,Urban,Bachelor,5L-10L,0,2,6586,More than 1,C,Silver,106811.71,Premium,5L-10L,More than 1,1
93497,Male,Urban,High School,2L-5L,1,3,9808,More than 1,A,Platinum,137341.52,Premium,2L-5L,More than 1,1
93498,Male,Urban,High School,5L-10L,1,1,2103,More than 1,C,Platinum,94643.35,High,5L-10L,More than 1,1
93499,Male,Rural,High School,5L-10L,1,0,0,1,A,Platinum,43139.79,Low,5L-10L,1,0
93500,Female,Urban,High School,2L-5L,0,0,0,More than 1,A,Platinum,92626.61,High,2L-5L,More than 1,0
93501,Female,Rural,High School,5L-10L,1,4,2403,1,A,Platinum,46733.44,Low,5L-10L,1,1
93502,Female,Urban,High School,5L-10L,1,8,6863,More than 1,A,Gold,97431.99,Premium,5L-10L,More than 1,1
93503,Male,Rural,Bachelor,5L-10L,1,4,3749,More than 1,A,Platinum,84231.16,Medium,5L-10L,More than 1,1
93504,Male,Urban,Bachelor,5L-10L,1,4,5493,1,A,Gold,41300.69,Low,5L-10L,1,1
93505,Male,Rural,Bachelor,2L-5L,1,6,2641,More than 1,A,Platinum,79138.26,Medium,2L-5L,More than 1,1
93506,Female,Urban,High School,5L-10L,0,6,4471,More than 1,A,Platinum,97209.68,Premium,5L-10L,More than 1,1
93507,Male,Urban,Bachelor,2L-5L,0,8,0,More than 1,A,Platinum,90894.55,High,2L-5L,More than 1,0
93508,Male,Urban,High School,5L-10L,1,4,2303,More than 1,A,Gold,88071.71,High,5L-10L,More than 1,1
93509,Male,Urban,Bachelor,5L-10L,0,5,4448,More than 1,A,Silver,95606.01,Premium,5L-10L,More than 1,1
93510,Female,Urban,High School,5L-10L,1,8,4908,More than 1,A,Platinum,76510.58,Medium,5L-10L,More than 1,1
93511,Female,Urban,High School,5L-10L,0,4,11272,More than 1,A,Platinum,109439.31,Premium,5L-10L,More than 1,1
93512,Male,Rural,High School,5L-10L,1,6,3627,1,B,Platinum,47178.5,Medium,5L-10L,1,1
93513,Female,Urban,Bachelor,5L-10L,0,4,3520,More than 1,B,Gold,90786.71,High,5L-10L,More than 1,1
93514,Male,Urban,High School,5L-10L,1,5,4004,1,B,Silver,46272.17,Low,5L-10L,1,1
93515,Female,Urban,High School,5L-10L,0,0,6087,1,A,Platinum,44256.46,Low,5L-10L,1,1
93516,Female,Urban,High School,2L-5L,0,6,5112,More than 1,A,Platinum,101903.18,Premium,2L-5L,More than 1,1
93517,Male,Urban,High School,5L-10L,1,0,6970,More than 1,A,Platinum,98609.95,Premium,5L-10L,More than 1,1
93518,Male,Rural,Bachelor,5L-10L,0,7,0,More than 1,B,Platinum,76366.18,Medium,5L-10L,More than 1,0
93519,Male,Rural,Bachelor,More than 10L,0,4,4055,More than 1,A,Platinum,83111.73,Medium,More than 10L,More than 1,1
93520,Male,Urban,High School,<=2L,1,5,3774,More than 1,C,Silver,91874.59,High,<=2L,More than 1,1
93521,Male,Urban,Bachelor,5L-10L,1,6,7539,More than 1,A,Platinum,123603.21,Premium,5L-10L,More than 1,1
93522,Male,Urban,Bachelor,5L-10L,1,7,3891,More than 1,A,Platinum,88676.51,High,5L-10L,More than 1,1
93523,Female,Urban,Bachelor,5L-10L,1,0,0,1,A,Gold,44326.77,Low,5L-10L,1,0
93524,Female,Urban,Bachelor,5L-10L,1,2,9860,More than 1,A,Platinum,108973.14,Premium,5L-10L,More than 1,1
93525,Male,Urban,High School,5L-10L,1,4,0,1,B,Platinum,43734.24,Low,5L-10L,1,0
93526,Male,Urban,High School,2L-5L,1,4,6510,1,B,Silver,45775.57,Low,2L-5L,1,1
93527,Female,Urban,Bachelor,5L-10L,0,4,3652,1,A,Platinum,45772.14,Low,5L-10L,1,1
93528,Male,Urban,High School,2L-5L,1,2,3806,1,C,Gold,45086.95,Low,2L-5L,1,1
93529,Male,Urban,Bachelor,More than 10L,1,5,6241,More than 1,A,Silver,88152.65,High,More than 10L,More than 1,1
93530,Male,Urban,Bachelor,2L-5L,0,8,4061,More than 1,C,Platinum,89247.34,High,2L-5L,More than 1,1
93531,Female,Rural,High School,2L-5L,0,1,2373,More than 1,B,Silver,84922.19,Medium,2L-5L,More than 1,1
93532,Female,Rural,Bachelor,2L-5L,1,2,4200,More than 1,A,Gold,92096.69,High,2L-5L,More than 1,1
93533,Male,Urban,High School,5L-10L,1,7,5768,1,A,Platinum,45433.78,Low,5L-10L,1,1
93534,Male,Urban,High School,5L-10L,0,4,3878,1,A,Platinum,45634.91,Low,5L-10L,1,1
93535,Female,Urban,High School,5L-10L,0,5,6168,More than 1,A,Gold,102335.71,Premium,5L-10L,More than 1,1
93536,Female,Urban,High School,5L-10L,1,6,4596,More than 1,A,Platinum,93546.49,High,5L-10L,More than 1,1
93537,Female,Rural,Bachelor,More than 10L,1,4,0,More than 1,A,Platinum,80770.69,Medium,More than 10L,More than 1,0
93538,Male,Urban,High School,5L-10L,1,8,3188,More than 1,A,Platinum,84802.36,Medium,5L-10L,More than 1,1
93539,Female,Urban,Bachelor,2L-5L,1,2,2502,More than 1,B,Platinum,85778.13,High,2L-5L,More than 1,1
93540,Male,Rural,Bachelor,More than 10L,1,0,0,More than 1,A,Platinum,76013.73,Medium,More than 10L,More than 1,0
93541,Female,Urban,Bachelor,5L-10L,1,1,4412,1,A,Platinum,46178.7,Low,5L-10L,1,1
93542,Male,Urban,Others,2L-5L,1,6,5985,1,B,Platinum,43134.45,Low,2L-5L,1,1
93543,Male,Urban,Bachelor,5L-10L,1,6,2427,More than 1,A,Platinum,85513.32,High,5L-10L,More than 1,1
93544,Female,Rural,Bachelor,More than 10L,0,7,0,More than 1,A,Gold,87847.17,High,More than 10L,More than 1,0
93545,Male,Rural,Bachelor,More than 10L,1,0,0,More than 1,B,Platinum,75031.01,Medium,More than 10L,More than 1,0
93546,Male,Urban,High School,5L-10L,1,2,11300,1,A,Silver,49412.51,Medium,5L-10L,1,1
93547,Male,Rural,Bachelor,5L-10L,1,1,0,More than 1,B,Platinum,75594.04,Medium,5L-10L,More than 1,0
93548,Male,Urban,Bachelor,More than 10L,1,7,5382,1,A,Platinum,44800.52,Low,More than 10L,1,1
93549,Male,Rural,Bachelor,5L-10L,1,5,5710,1,C,Silver,43563.03,Low,5L-10L,1,1
93550,Female,Urban,High School,5L-10L,1,2,0,1,A,Platinum,43420.98,Low,5L-10L,1,0
93551,Female,Urban,High School,5L-10L,1,3,4054,1,A,Gold,45160.08,Low,5L-10L,1,1
93552,Male,Urban,High School,5L-10L,1,4,5910,More than 1,B,Silver,93419.19,High,5L-10L,More than 1,1
93553,Male,Urban,Bachelor,More than 10L,0,6,6775,More than 1,A,Platinum,107735.75,Premium,More than 10L,More than 1,1
93554,Male,Rural,Bachelor,5L-10L,1,6,0,1,A,Gold,43959.76,Low,5L-10L,1,0
93555,Male,Urban,High School,5L-10L,1,2,6581,More than 1,A,Platinum,93097.96,High,5L-10L,More than 1,1
93556,Male,Rural,Bachelor,2L-5L,0,7,4706,1,B,Silver,47616.51,Medium,2L-5L,1,1
93557,Female,Urban,High School,5L-10L,0,8,3140,More than 1,A,Gold,98258.47,Premium,5L-10L,More than 1,1
93558,Male,Urban,High School,5L-10L,1,0,6390,1,A,Platinum,45633.84,Low,5L-10L,1,1
93559,Male,Urban,Bachelor,5L-10L,0,7,7633,More than 1,A,Gold,103001.82,Premium,5L-10L,More than 1,1
93560,Male,Urban,High School,2L-5L,0,4,6531,More than 1,A,Platinum,120162.13,Premium,2L-5L,More than 1,1
93561,Female,Urban,High School,5L-10L,0,6,7089,1,A,Platinum,48981.38,Medium,5L-10L,1,1
93562,Male,Urban,High School,5L-10L,1,1,2918,1,C,Platinum,45414.95,Low,5L-10L,1,1
93563,Male,Urban,High School,5L-10L,0,6,0,More than 1,B,Platinum,82916.48,Medium,5L-10L,More than 1,0
93564,Female,Urban,High School,5L-10L,1,7,6373,1,A,Platinum,46502.35,Low,5L-10L,1,1
93565,Female,Urban,Bachelor,5L-10L,0,7,2427,More than 1,B,Platinum,85642.39,High,5L-10L,More than 1,1
93566,Male,Urban,High School,2L-5L,0,6,6512,More than 1,A,Platinum,116391.33,Premium,2L-5L,More than 1,1
93567,Male,Urban,High School,2L-5L,0,0,6307,More than 1,A,Platinum,98361.47,Premium,2L-5L,More than 1,1
93568,Male,Rural,Bachelor,More than 10L,1,7,3282,More than 1,B,Gold,78972.24,Medium,More than 10L,More than 1,1
93569,Male,Urban,High School,5L-10L,0,6,6332,More than 1,A,Silver,96679.37,Premium,5L-10L,More than 1,1
93570,Male,Urban,High School,2L-5L,1,0,3722,More than 1,A,Gold,86181.45,High,2L-5L,More than 1,1
93571,Male,Urban,Bachelor,5L-10L,1,2,0,1,B,Silver,44448.19,Low,5L-10L,1,0
93572,Male,Rural,High School,5L-10L,1,7,2750,More than 1,A,Gold,89823.78,High,5L-10L,More than 1,1
93573,Male,Urban,High School,5L-10L,0,1,3114,More than 1,A,Gold,94124.73,High,5L-10L,More than 1,1
93574,Male,Rural,Bachelor,5L-10L,1,5,0,1,A,Platinum,43635.7,Low,5L-10L,1,0
93575,Male,Rural,Bachelor,5L-10L,1,7,0,1,A,Platinum,44831.1,Low,5L-10L,1,0
93576,Female,Urban,Bachelor,2L-5L,1,4,6554,More than 1,B,Platinum,95724.74,Premium,2L-5L,More than 1,1
93577,Male,Rural,High School,5L-10L,0,5,10171,More than 1,A,Gold,113512.51,Premium,5L-10L,More than 1,1
93578,Male,Rural,Bachelor,5L-10L,1,7,0,More than 1,A,Silver,81807.52,Medium,5L-10L,More than 1,0
93579,Male,Urban,Bachelor,<=2L,1,5,5579,More than 1,A,Platinum,100942.16,Premium,<=2L,More than 1,1
93580,Male,Urban,High School,2L-5L,0,3,6407,More than 1,A,Silver,108400.74,Premium,2L-5L,More than 1,1
93581,Male,Urban,Bachelor,5L-10L,0,7,6309,More than 1,B,Silver,83373.11,Medium,5L-10L,More than 1,1
93582,Female,Rural,Bachelor,More than 10L,0,5,0,1,B,Platinum,46604.22,Low,More than 10L,1,0
93583,Male,Urban,High School,2L-5L,1,1,5563,1,A,Platinum,42310.84,Low,2L-5L,1,1
93584,Male,Rural,Bachelor,5L-10L,1,4,4330,More than 1,A,Platinum,85742.58,High,5L-10L,More than 1,1
93585,Female,Rural,Bachelor,More than 10L,0,6,0,More than 1,B,Platinum,77270.29,Medium,More than 10L,More than 1,0
93586,Male,Urban,High School,5L-10L,0,7,2978,More than 1,A,Silver,92130.01,High,5L-10L,More than 1,1
93587,Female,Rural,High School,More than 10L,1,0,0,More than 1,A,Platinum,77550.23,Medium,More than 10L,More than 1,0
93588,Female,Urban,Bachelor,5L-10L,1,5,3954,More than 1,A,Platinum,88678.08,High,5L-10L,More than 1,1
93589,Male,Urban,High School,5L-10L,1,6,0,1,A,Platinum,43275.45,Low,5L-10L,1,0
93590,Female,Urban,Bachelor,<=2L,1,6,5961,More than 1,A,Platinum,94231.12,High,<=2L,More than 1,1
93591,Female,Rural,High School,More than 10L,1,5,0,1,A,Platinum,44540.84,Low,More than 10L,1,0
93592,Female,Urban,High School,2L-5L,1,6,5990,1,A,Platinum,44704.42,Low,2L-5L,1,1
93593,Female,Urban,Bachelor,5L-10L,1,1,0,1,A,Silver,44368.87,Low,5L-10L,1,0
93594,Male,Urban,High School,5L-10L,0,6,6093,More than 1,A,Gold,97082.85,Premium,5L-10L,More than 1,1
93595,Male,Urban,Bachelor,5L-10L,0,6,7143,More than 1,A,Platinum,94113.22,High,5L-10L,More than 1,1
93596,Male,Urban,High School,5L-10L,1,5,4401,1,B,Platinum,47015.47,Low,5L-10L,1,1
93597,Male,Urban,High School,5L-10L,1,6,0,More than 1,B,Gold,77452.93,Medium,5L-10L,More than 1,0
93598,Female,Urban,High School,5L-10L,0,5,5696,More than 1,A,Platinum,100144.88,Premium,5L-10L,More than 1,1
93599,Female,Rural,High School,5L-10L,1,8,0,1,C,Silver,46252.03,Low,5L-10L,1,0
93600,Male,Urban,High School,2L-5L,0,4,2457,1,A,Platinum,45859.84,Low,2L-5L,1,1
93601,Male,Urban,Bachelor,5L-10L,0,7,4387,More than 1,A,Gold,94346.16,High,5L-10L,More than 1,1
93602,Male,Urban,Bachelor,More than 10L,0,1,17796,More than 1,A,Platinum,113498.31,Premium,More than 10L,More than 1,1
93603,Male,Urban,High School,5L-10L,0,6,3344,1,A,Gold,45955.81,Low,5L-10L,1,1
93604,Male,Urban,High School,5L-10L,0,8,5810,1,A,Gold,46007.18,Low,5L-10L,1,1
93605,Male,Urban,High School,2L-5L,0,8,7563,More than 1,A,Platinum,109566.76,Premium,2L-5L,More than 1,1
93606,Male,Urban,Bachelor,5L-10L,0,8,3845,More than 1,A,Platinum,98095.64,Premium,5L-10L,More than 1,1
93607,Male,Urban,High School,5L-10L,1,1,4367,More than 1,C,Gold,92206.43,High,5L-10L,More than 1,1
93608,Male,Urban,Bachelor,2L-5L,1,7,6485,1,A,Gold,48543.49,Medium,2L-5L,1,1
93609,Male,Urban,High School,5L-10L,1,4,4986,More than 1,A,Gold,97090.46,Premium,5L-10L,More than 1,1
93610,Male,Rural,Others,5L-10L,1,3,4449,1,B,Platinum,46650.51,Low,5L-10L,1,1
93611,Male,Rural,Bachelor,5L-10L,1,1,10126,More than 1,A,Gold,101724.15,Premium,5L-10L,More than 1,1
93612,Male,Urban,High School,5L-10L,1,6,6625,More than 1,A,Silver,93614.87,High,5L-10L,More than 1,1
93613,Female,Rural,Bachelor,5L-10L,0,0,0,1,A,Silver,45347.25,Low,5L-10L,1,0
93614,Female,Rural,High School,5L-10L,0,4,2387,More than 1,B,Platinum,81678.37,Medium,5L-10L,More than 1,1
93615,Female,Rural,High School,More than 10L,1,1,4534,More than 1,A,Platinum,81620.29,Medium,More than 10L,More than 1,1
93616,Female,Urban,High School,5L-10L,0,4,7422,More than 1,A,Silver,97437.59,Premium,5L-10L,More than 1,1
93617,Male,Rural,Bachelor,5L-10L,0,8,2771,1,A,Platinum,49414.04,Medium,5L-10L,1,1
93618,Female,Urban,Others,More than 10L,1,5,4687,1,A,Gold,41242.89,Low,More than 10L,1,1
93619,Female,Urban,High School,5L-10L,0,5,7259,More than 1,A,Platinum,100391.51,Premium,5L-10L,More than 1,1
93620,Male,Urban,High School,2L-5L,1,1,17175,More than 1,C,Platinum,135138.23,Premium,2L-5L,More than 1,1
93621,Male,Urban,High School,5L-10L,0,7,6099,More than 1,A,Gold,94079.81,High,5L-10L,More than 1,1
93622,Male,Urban,High School,More than 10L,1,5,5774,1,A,Platinum,43906.81,Low,More than 10L,1,1
93623,Female,Urban,High School,5L-10L,0,7,6760,1,C,Silver,48111.64,Medium,5L-10L,1,1
93624,Male,Urban,Bachelor,5L-10L,1,1,2290,More than 1,A,Silver,82708.25,Medium,5L-10L,More than 1,1
93625,Male,Urban,Bachelor,5L-10L,0,6,4293,More than 1,A,Silver,93903.58,High,5L-10L,More than 1,1
93626,Female,Urban,High School,5L-10L,1,3,4133,More than 1,A,Silver,89709.12,High,5L-10L,More than 1,1
93627,Female,Rural,Bachelor,5L-10L,1,0,0,1,B,Gold,46267.58,Low,5L-10L,1,0
93628,Male,Rural,Bachelor,5L-10L,1,6,0,1,C,Platinum,43965.7,Low,5L-10L,1,0
93629,Male,Urban,Bachelor,5L-10L,1,6,13872,More than 1,A,Platinum,113423.45,Premium,5L-10L,More than 1,1
93630,Male,Rural,High School,5L-10L,1,5,3917,More than 1,A,Gold,93505.37,High,5L-10L,More than 1,1
93631,Female,Urban,Bachelor,More than 10L,0,2,0,1,A,Platinum,44911.35,Low,More than 10L,1,0
93632,Male,Urban,Bachelor,5L-10L,0,5,3466,More than 1,C,Silver,99413.8,Premium,5L-10L,More than 1,1
93633,Female,Rural,High School,5L-10L,0,5,0,More than 1,A,Silver,83762.49,Medium,5L-10L,More than 1,0
93634,Male,Rural,Bachelor,5L-10L,1,5,2638,More than 1,A,Gold,90972.57,High,5L-10L,More than 1,1
93635,Female,Urban,High School,5L-10L,1,6,3950,1,A,Platinum,46049.19,Low,5L-10L,1,1
93636,Male,Urban,High School,5L-10L,0,5,8043,More than 1,A,Platinum,113218.33,Premium,5L-10L,More than 1,1
93637,Female,Urban,Bachelor,5L-10L,0,5,5475,More than 1,A,Platinum,104541.51,Premium,5L-10L,More than 1,1
93638,Male,Urban,High School,5L-10L,1,5,4147,More than 1,A,Platinum,89409.68,High,5L-10L,More than 1,1
93639,Female,Urban,Bachelor,5L-10L,0,4,4208,1,C,Silver,46236.95,Low,5L-10L,1,1
93640,Male,Urban,Bachelor,5L-10L,1,1,9325,1,A,Platinum,50274.53,Medium,5L-10L,1,1
93641,Male,Urban,Bachelor,More than 10L,1,7,6056,1,B,Gold,43907.15,Low,More than 10L,1,1
93642,Male,Urban,High School,More than 10L,0,7,3649,More than 1,A,Gold,91141.13,High,More than 10L,More than 1,1
93643,Male,Urban,Bachelor,5L-10L,1,8,2354,More than 1,A,Silver,85869.27,High,5L-10L,More than 1,1
93644,Female,Urban,Bachelor,2L-5L,1,2,6049,More than 1,B,Platinum,94690.09,High,2L-5L,More than 1,1
93645,Male,Rural,Bachelor,5L-10L,1,6,2181,1,A,Gold,44958.6,Low,5L-10L,1,1
93646,Male,Urban,Others,2L-5L,1,7,6760,More than 1,A,Gold,85723.0,High,2L-5L,More than 1,1
93647,Female,Urban,Bachelor,5L-10L,1,7,4492,More than 1,B,Gold,84948.19,Medium,5L-10L,More than 1,1
93648,Female,Urban,Bachelor,2L-5L,1,7,5614,More than 1,A,Silver,94145.72,High,2L-5L,More than 1,1
93649,Male,Urban,High School,5L-10L,1,6,3128,More than 1,A,Gold,87494.38,High,5L-10L,More than 1,1
93650,Male,Urban,High School,2L-5L,1,3,5190,1,A,Silver,41725.79,Low,2L-5L,1,1
93651,Female,Rural,Bachelor,More than 10L,1,1,0,More than 1,A,Silver,81031.16,Medium,More than 10L,More than 1,0
93652,Female,Urban,High School,5L-10L,1,4,5459,1,A,Platinum,42227.81,Low,5L-10L,1,1
93653,Male,Rural,High School,5L-10L,1,4,4019,More than 1,C,Platinum,84548.46,Medium,5L-10L,More than 1,1
93654,Female,Urban,High School,2L-5L,1,6,5263,1,A,Silver,42250.88,Low,2L-5L,1,1
93655,Female,Rural,Bachelor,More than 10L,1,8,0,1,A,Platinum,46789.72,Low,More than 10L,1,0
93656,Female,Urban,Bachelor,2L-5L,1,4,7399,More than 1,A,Silver,103358.28,Premium,2L-5L,More than 1,1
93657,Female,Rural,Bachelor,More than 10L,1,7,0,1,B,Gold,46920.86,Low,More than 10L,1,0
93658,Female,Urban,High School,2L-5L,1,4,4922,1,A,Platinum,41861.28,Low,2L-5L,1,1
93659,Male,Urban,Bachelor,2L-5L,0,5,3611,1,B,Silver,46737.33,Low,2L-5L,1,1
93660,Female,Rural,Bachelor,5L-10L,1,6,0,More than 1,B,Platinum,76207.22,Medium,5L-10L,More than 1,0
93661,Female,Rural,Bachelor,More than 10L,1,6,0,More than 1,A,Silver,83524.14,Medium,More than 10L,More than 1,0
93662,Female,Urban,Bachelor,More than 10L,1,6,2069,More than 1,A,Gold,87426.17,High,More than 10L,More than 1,1
93663,Male,Urban,Bachelor,5L-10L,0,1,3526,More than 1,B,Platinum,91015.05,High,5L-10L,More than 1,1
93664,Female,Urban,High School,5L-10L,0,1,6610,More than 1,A,Gold,98848.8,Premium,5L-10L,More than 1,1
93665,Male,Urban,High School,5L-10L,1,8,4074,More than 1,B,Silver,80201.75,Medium,5L-10L,More than 1,1
93666,Male,Urban,High School,5L-10L,0,7,2767,1,B,Platinum,47941.67,Medium,5L-10L,1,1
93667,Female,Urban,Bachelor,5L-10L,0,5,11487,More than 1,A,Platinum,109114.5,Premium,5L-10L,More than 1,1
93668,Female,Urban,High School,2L-5L,0,5,4977,More than 1,A,Gold,100150.72,Premium,2L-5L,More than 1,1
93669,Female,Urban,High School,5L-10L,1,2,8331,More than 1,A,Platinum,111138.53,Premium,5L-10L,More than 1,1
93670,Female,Urban,Bachelor,<=2L,0,7,6365,More than 1,A,Platinum,99149.64,Premium,<=2L,More than 1,1
93671,Male,Urban,High School,2L-5L,0,2,3012,More than 1,A,Gold,98176.1,Premium,2L-5L,More than 1,1
93672,Male,Urban,Bachelor,5L-10L,1,2,10046,1,A,Gold,50455.68,Medium,5L-10L,1,1
93673,Male,Urban,Bachelor,5L-10L,1,0,3553,1,A,Silver,45159.19,Low,5L-10L,1,1
93674,Male,Urban,High School,2L-5L,1,5,2151,More than 1,B,Platinum,82803.63,Medium,2L-5L,More than 1,1
93675,Male,Urban,High School,5L-10L,1,2,3460,More than 1,C,Platinum,90004.82,High,5L-10L,More than 1,1
93676,Female,Rural,Others,More than 10L,1,7,0,More than 1,B,Platinum,73696.74,Medium,More than 10L,More than 1,0
93677,Female,Urban,Bachelor,5L-10L,1,6,3629,More than 1,A,Platinum,87442.22,High,5L-10L,More than 1,1
93678,Female,Urban,Bachelor,2L-5L,0,6,5622,More than 1,B,Silver,93039.42,High,2L-5L,More than 1,1
93679,Male,Urban,High School,5L-10L,0,0,8811,More than 1,A,Gold,108297.42,Premium,5L-10L,More than 1,1
93680,Male,Urban,Bachelor,2L-5L,0,1,5590,More than 1,A,Platinum,104984.66,Premium,2L-5L,More than 1,1
93681,Female,Rural,High School,More than 10L,0,1,2657,More than 1,A,Platinum,86068.91,High,More than 10L,More than 1,1
93682,Male,Rural,Bachelor,5L-10L,0,1,2587,More than 1,C,Platinum,83640.93,Medium,5L-10L,More than 1,1
93683,Female,Urban,High School,5L-10L,1,1,2054,More than 1,B,Silver,79233.55,Medium,5L-10L,More than 1,1
93684,Male,Rural,High School,5L-10L,0,4,2248,More than 1,A,Platinum,84105.1,Medium,5L-10L,More than 1,1
93685,Female,Rural,High School,More than 10L,1,7,0,1,B,Platinum,45968.6,Low,More than 10L,1,0
93686,Male,Rural,Others,5L-10L,0,7,3949,1,A,Platinum,46167.79,Low,5L-10L,1,1
93687,Male,Rural,High School,5L-10L,0,4,2583,1,A,Platinum,46187.86,Low,5L-10L,1,1
93688,Female,Urban,High School,5L-10L,1,0,4245,More than 1,A,Platinum,86399.73,High,5L-10L,More than 1,1
93689,Male,Urban,Bachelor,5L-10L,1,7,3794,1,A,Gold,47267.94,Medium,5L-10L,1,1
93690,Male,Urban,High School,5L-10L,1,3,2758,More than 1,B,Platinum,79492.07,Medium,5L-10L,More than 1,1
93691,Male,Urban,Bachelor,5L-10L,1,4,9525,1,A,Platinum,50701.23,Medium,5L-10L,1,1
93692,Male,Rural,High School,More than 10L,1,1,0,1,B,Platinum,43921.71,Low,More than 10L,1,0
93693,Female,Rural,Bachelor,5L-10L,1,5,0,More than 1,B,Platinum,76416.67,Medium,5L-10L,More than 1,0
93694,Male,Urban,High School,5L-10L,0,4,6702,1,A,Silver,47387.67,Medium,5L-10L,1,1
93695,Female,Urban,Bachelor,5L-10L,1,6,7514,1,C,Platinum,53027.25,Medium,5L-10L,1,1
93696,Female,Rural,Bachelor,5L-10L,0,4,3459,More than 1,A,Gold,93416.19,High,5L-10L,More than 1,1
93697,Female,Urban,Bachelor,2L-5L,1,4,5155,More than 1,B,Platinum,96356.21,Premium,2L-5L,More than 1,1
